Ticker;SimFinId;Date;Open;High;Low;Close;Adj. Close;Volume;Dividend;Shares Outstanding
A;45846;2020-04-20;79.05;79.05;76.98;77.37;74.38;1679446;;309651359
A;45846;2020-04-21;75.76;75.80;73.71;73.75;70.90;2824291;;309651359
A;45846;2020-04-22;74.75;75.58;73.78;75.17;72.27;2347360;;309651359
A;45846;2020-04-23;76.60;77.49;75.05;75.09;72.19;2097688;;309651359
A;45846;2020-04-24;75.62;75.91;74.02;75.75;72.82;1654283;;309651359
A;45846;2020-04-27;76.35;76.62;75.84;76.25;73.31;1295830;;309651359
A;45846;2020-04-28;77.00;77.00;75.34;75.45;72.54;1855939;;309651359
A;45846;2020-04-29;76.30;79.38;76.14;78.72;75.68;2409376;;309651359
A;45846;2020-04-30;77.96;78.44;75.99;76.66;73.70;1795163;;308000000
A;45846;2020-05-01;75.55;76.10;73.57;74.21;71.34;1618594;;308000000
A;45846;2020-05-04;74.28;74.62;73.42;74.56;71.68;1555396;;308000000
A;45846;2020-05-05;74.91;77.58;74.83;76.37;73.42;1476069;;308000000
A;45846;2020-05-06;76.69;78.83;76.65;77.87;74.86;2303584;;308000000
A;45846;2020-05-07;78.77;79.33;77.54;78.50;75.47;1190564;;308000000
A;45846;2020-05-08;79.67;80.33;79.19;79.71;76.63;2255008;;308000000
A;45846;2020-05-11;79.60;81.99;79.50;81.27;78.13;1691580;;308000000
A;45846;2020-05-12;81.58;82.30;79.78;79.85;76.77;2278944;;308000000
A;45846;2020-05-13;80.38;81.93;79.03;80.16;77.06;2664855;;308000000
A;45846;2020-05-14;79.29;81.66;78.72;81.64;78.49;2285878;;308000000
A;45846;2020-05-15;81.51;82.83;81.22;81.59;78.44;4529394;;308000000
A;45846;2020-05-18;83.24;84.39;82.29;83.66;80.43;2075974;;308000000
A;45846;2020-05-19;83.23;83.54;81.89;81.97;78.80;2099206;;308000000
A;45846;2020-05-20;82.98;82.98;81.47;81.71;78.55;2748146;;308000000
A;45846;2020-05-21;81.72;82.19;80.46;80.75;77.63;2573553;;308000000
A;45846;2020-05-22;85.00;87.67;84.20;84.98;81.70;5063071;;308777396
A;45846;2020-05-26;86.23;86.79;85.64;86.13;82.80;3173416;;308777396
A;45846;2020-05-27;86.30;86.48;84.37;86.18;82.85;1916278;;308777396
A;45846;2020-05-28;86.87;87.85;86.06;86.69;83.34;1908661;;308777396
A;45846;2020-05-29;87.17;88.49;86.47;88.14;84.74;2394489;;308777396
A;45846;2020-06-01;88.04;89.98;87.94;89.91;86.44;2477636;;308777396
A;45846;2020-06-02;90.00;90.63;89.11;90.29;86.80;1682843;;308777396
A;45846;2020-06-03;90.65;91.14;90.26;90.49;87.00;1382490;;308777396
A;45846;2020-06-04;89.82;91.74;89.82;91.14;87.62;2227450;;308777396
A;45846;2020-06-05;92.13;93.04;90.09;90.38;86.89;2844671;;308777396
A;45846;2020-06-08;89.31;90.59;89.06;90.29;86.80;1804745;;308777396
A;45846;2020-06-09;90.09;90.51;89.32;89.77;86.30;1817258;;308777396
A;45846;2020-06-10;90.32;90.58;89.46;89.81;86.34;1406662;;308777396
A;45846;2020-06-11;88.63;88.63;85.02;85.03;81.75;2491265;;308777396
A;45846;2020-06-12;86.83;87.30;83.99;86.11;82.78;1520001;;308777396
A;45846;2020-06-15;84.40;87.28;83.71;86.96;83.60;1551383;;308777396
A;45846;2020-06-16;88.88;89.24;86.51;87.44;84.06;1049239;;308777396
A;45846;2020-06-17;87.85;88.75;87.46;87.92;84.52;900794;;308777396
A;45846;2020-06-18;87.43;88.50;87.26;88.21;84.80;1441115;;308777396
A;45846;2020-06-19;89.41;89.79;87.76;88.73;85.30;1782605;;308777396
A;45846;2020-06-22;88.64;89.07;87.77;88.53;85.11;1245512;;308777396
A;45846;2020-06-23;89.19;89.70;88.66;89.28;85.83;1160309;;308777396
A;45846;2020-06-24;89.08;89.08;86.32;86.56;83.22;1806600;;308777396
A;45846;2020-06-25;86.43;87.35;84.80;87.26;83.89;1350129;;308777396
A;45846;2020-06-26;87.23;87.56;85.52;85.90;82.58;2225790;;308777396
A;45846;2020-06-29;86.56;87.36;86.11;87.29;84.09;1302474;0.18;308777396
A;45846;2020-06-30;87.33;88.88;87.24;88.37;85.13;1920173;;308777396
A;45846;2020-07-01;88.89;88.89;87.30;88.11;84.88;1137629;;308777396
A;45846;2020-07-02;88.83;89.49;88.55;88.68;85.43;1507700;;308777396
A;45846;2020-07-06;89.02;90.64;89.02;89.31;86.04;1412243;;308777396
A;45846;2020-07-07;88.84;90.04;88.67;89.21;85.94;1441704;;308777396
A;45846;2020-07-08;89.52;90.33;89.13;89.54;86.26;1069594;;308777396
A;45846;2020-07-09;89.65;90.40;88.56;89.92;86.63;1133845;;308777396
A;45846;2020-07-10;89.85;89.87;88.57;89.42;86.14;938092;;308777396
A;45846;2020-07-13;89.97;91.24;88.65;89.26;85.99;1646220;;308777396
A;45846;2020-07-14;88.83;90.79;88.07;90.69;87.37;1361140;;308777396
A;45846;2020-07-15;91.74;93.06;91.08;92.88;89.48;1897090;;308777396
A;45846;2020-07-16;92.98;93.21;92.06;92.86;89.46;1226388;;308777396
A;45846;2020-07-17;93.41;94.51;92.69;94.37;90.91;3457675;;308777396
A;45846;2020-07-20;94.91;96.22;94.76;95.21;91.72;1236926;;308777396
A;45846;2020-07-21;95.57;96.45;95.16;96.02;92.50;2169138;;308777396
A;45846;2020-07-22;96.36;96.88;95.81;96.35;92.82;1313240;;308777396
A;45846;2020-07-23;96.59;98.09;96.31;96.66;93.12;1386266;;308777396
A;45846;2020-07-24;95.98;96.22;93.87;94.81;91.34;1142915;;308777396
A;45846;2020-07-27;94.96;97.54;94.90;97.27;93.71;1177050;;308777396
A;45846;2020-07-28;96.98;97.25;95.20;95.30;91.81;1373722;;308777396
A;45846;2020-07-29;95.81;97.66;95.52;97.10;93.54;1125314;;308777396
A;45846;2020-07-30;96.12;96.36;94.97;95.93;92.42;1663364;;308777396
A;45846;2020-07-31;95.94;96.41;94.72;96.33;92.80;1551785;;309000000
A;45846;2020-08-03;96.94;99.36;96.94;99.09;95.46;1994325;;309000000
A;45846;2020-08-04;98.71;98.98;96.89;97.53;93.96;779236;;309000000
A;45846;2020-08-05;98.09;98.83;97.70;97.89;94.30;958344;;309000000
A;45846;2020-08-06;97.72;98.25;95.81;97.45;93.88;1075476;;309000000
A;45846;2020-08-07;97.07;97.84;96.87;97.78;94.20;897931;;309000000
A;45846;2020-08-10;97.84;97.96;96.95;97.14;93.58;900865;;309000000
A;45846;2020-08-11;97.22;97.63;96.20;96.30;92.77;1136985;;309000000
A;45846;2020-08-12;96.66;98.28;96.52;97.63;94.05;1318189;;309000000
A;45846;2020-08-13;97.55;99.12;97.17;98.77;95.15;1190775;;309000000
A;45846;2020-08-14;98.45;98.83;96.90;97.37;93.80;957365;;309000000
A;45846;2020-08-17;97.67;98.68;97.09;97.51;93.94;1937531;;309000000
A;45846;2020-08-18;97.71;98.71;97.11;97.86;94.28;2008663;;309000000
A;45846;2020-08-19;95.23;99.40;94.53;97.96;94.37;2830773;;309000000
A;45846;2020-08-20;97.39;98.17;97.11;97.78;94.20;1428345;;309000000
A;45846;2020-08-21;97.87;98.32;97.27;98.30;94.70;1269335;;309000000
A;45846;2020-08-24;98.78;99.21;97.14;97.60;94.02;1154546;;309000000
A;45846;2020-08-25;97.87;98.66;97.56;98.34;94.74;1061265;;309000000
A;45846;2020-08-26;98.18;99.73;98.05;99.33;95.69;1072297;;308309635
A;45846;2020-08-27;99.19;99.66;97.56;99.02;95.39;1236929;;308309635
A;45846;2020-08-28;99.00;99.93;98.54;99.90;96.24;866211;;308309635
A;45846;2020-08-31;99.90;101.04;99.75;100.42;96.74;1077021;;308309635
A;45846;2020-09-01;100.92;101.29;100.25;101.12;97.42;1159749;;308309635
A;45846;2020-09-02;101.00;103.66;100.46;103.42;99.63;1462471;;308309635
A;45846;2020-09-03;103.09;103.20;99.04;99.64;95.99;1992844;;308309635
A;45846;2020-09-04;100.07;100.11;95.66;96.84;93.29;1753874;;308309635
A;45846;2020-09-08;96.11;96.47;94.76;95.14;91.65;1225579;;308309635
A;45846;2020-09-09;96.10;98.47;95.86;97.93;94.34;954420;;308309635
A;45846;2020-09-10;98.88;100.10;98.24;98.57;94.96;1933185;;308309635
A;45846;2020-09-11;98.71;99.62;98.02;98.60;94.99;1368561;;308309635
A;45846;2020-09-14;99.73;100.23;98.97;99.42;95.78;1207651;;308309635
A;45846;2020-09-15;99.72;101.00;99.72;100.37;96.69;1053823;;308309635
A;45846;2020-09-16;101.23;101.53;98.08;99.92;96.26;1365682;;308309635
A;45846;2020-09-17;99.25;100.45;98.58;99.60;95.95;1246412;;308309635
